IDs	KO	pathway_A	order	Gene	Comment/Uniprot comment
ID4292	K22387	Etherlipid metabolism		"GDPD1_3, GDE4_7; lysophospholipase D [EC:3.1.4.39]"	
ID4293	K16794	Etherlipid metabolism		"PAFAH1B1, LIS1; platelet-activating factor acetylhydrolase IB subunit alpha"	
ID4294	K16795	Etherlipid metabolism		PAFAH1B2_3; platelet-activating factor acetylhydrolase IB subunit beta/gamma [EC:3.1.1.47]	
ID4295	K01062	Etherlipid metabolism		"PLA2G7, PAFAH; platelet-activating factor acetylhydrolase [EC:3.1.1.47]"	
ID4296	K18575	Etherlipid metabolism		TMEM86B; alkenylglycerophosphocholine hydrolase [EC:3.3.2.2]	
ID4297	K00803	Etherlipid metabolism		"AGPS, agpS; alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26]"	
ID4298	K04628	Etherlipid metabolism		"CGT, UGT8; ceramide galactosyltransferase [EC:2.4.1.47]"	
ID4299	K01019	Etherlipid metabolism		GAL3ST1; galactosylceramide sulfotransferase [EC:2.8.2.11]	
ID4300					
ID4301	Fatty acid biosynthesis (other)				
ID4302	K11539	Fatty acid biosynthesis (other)		CBR4; carbonyl reductase 4 / 3-oxoacyl-[acyl-carrier protein] reductase beta subunit [EC:1.1.1.-]	
ID4303	K18474	Fatty acid biosynthesis (other)		fabM; trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:5.3.3.14]	
ID4304	K00668	Fatty acid biosynthesis (other)		"FAS1; fatty acid synthase subunit beta, fungi type [EC:2.3.1.86]"	
ID4305	K00667	Fatty acid biosynthesis (other)		"FAS2; fatty acid synthase subunit alpha, fungi type [EC:2.3.1.86]"	
ID4306	K10782	Fatty acid biosynthesis (other)		FATA; fatty acyl-ACP thioesterase A [EC:3.1.2.14]	
ID4307	K10781	Fatty acid biosynthesis (other)		FATB; fatty acyl-ACP thioesterase B [EC:3.1.2.14 3.1.2.21]	
ID4308	K22540	Fatty acid biosynthesis (other)		"HTD2; 3-hydroxyacyl-thioester dehydratase, animal type [EC:4.2.1.-]"	
ID4309	K22541	Fatty acid biosynthesis (other)		"HTD2; 3-hydroxyacyl-thioester dehydratase, fungi type [EC:4.2.1.-]"	
ID4310	K01071	Fatty acid biosynthesis (other)		MCH; medium-chain acyl-[acyl-carrier-protein] hydrolase [EC:3.1.2.21]	
ID4311	K00665	Fatty acid biosynthesis (other)		"FASN; fatty acid synthase, animal type [EC:2.3.1.85]"	
ID4312	K03922	Fatty acid biosynthesis (other)		desA2; acyl-[acyl-carrier-protein] desaturase [EC:1.14.19.2]	
ID4313	K03921	Fatty acid biosynthesis (other)		"FAB2, SSI2, desA1; acyl-[acyl-carrier-protein] desaturase [EC:1.14.19.2 1.14.19.11 1.14.19.26]"	
ID4314	K15013	Fatty acid biosynthesis (other)		ACSBG; long-chain-fatty-acid--CoA ligase ACSBG [EC:6.2.1.3]	
ID4315	K07512	Fatty acid biosynthesis (other)		"MECR, NRBF1; mitochondrial enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase [EC:1.3.1.- 1.3.1.38]"	
ID4316	K16363	Fatty acid biosynthesis (other)		lpxC-fabZ; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]	
ID4317	K00645	Fatty acid biosynthesis (other)		"fabD, MCAT, MCT1; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]"	
ID4318	K13370	Fatty acid biosynthesis (other)		HSD17B8; 17beta-estradiol 17-dehydrogenase / 3alpha(17beta)-hydroxysteroid dehydrogenase (NAD+) / 3-oxoacyl-[acyl-carrier protein] reductase alpha subunit [EC:1.1.1.62 1.1.1.239]	
ID4319	K18660	Fatty acid biosynthesis (other)		ACSF3; malonyl-CoA/methylmalonyl-CoA synthetase [EC:6.2.1.-]	
ID4320					
ID4321	Lipoprotein metabolism				
ID4322	K13292	no_pathway		"lgt, umpA; phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]"	"this protein is involved in the pathway lipoprotein biosynthesis (diacylglyceryl transfer), which is part of Protein modification"
ID4323	K03820	no_pathway		lnt; apolipoprotein N-acyltransferase [EC:2.3.1.269]	
ID4324					
ID4325	Cell wall recycling				
ID4326	K09001	no_pathway		anmK; anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]	"phosphorylation of 1,6-anhydro-N-acetylmuramic acid (anhMurNAc) with the simultaneous cleavage of the 1,6-anhydro ring, generating MurNAc-6-P. "
ID4327					
ID4328	K08304	no_pathway		mltA; membrane-bound lytic murein transglycosylase A [EC:4.2.2.-]	"Murein-degrading enzyme. May play a role in recycling of muropeptides during cell elongation and/or cell division. Degrades murein glycan strands and insoluble, high-molecular weight murein sacculi."
ID4329	K08305	no_pathway		mltB; membrane-bound lytic murein transglycosylase B [EC:4.2.2.-]	"Murein-degrading enzyme. May play a role in recycling of muropeptides during cell elongation and/or cell division. Degrades murein glycan strands and insoluble, high-molecular weight murein sacculi."
ID4330	K08306	no_pathway		mltC; membrane-bound lytic murein transglycosylase C [EC:4.2.2.-]	"Murein-degrading enzyme. May play a role in recycling of muropeptides during cell elongation and/or cell division. Degrades murein glycan strands and insoluble, high-molecular weight murein sacculi."
ID4331	K08307	no_pathway		"mltD, dniR; membrane-bound lytic murein transglycosylase D [EC:4.2.2.-]"	"Murein-degrading enzyme. May play a role in recycling of muropeptides during cell elongation and/or cell division. Degrades murein glycan strands and insoluble, high-molecular weight murein sacculi."
ID4332	K08308	no_pathway		"mltE, emtA; membrane-bound lytic murein transglycosylase E [EC:4.2.2.-]"	"Murein-degrading enzyme. May play a role in recycling of muropeptides during cell elongation and/or cell division. Degrades murein glycan strands and insoluble, high-molecular weight murein sacculi."
ID4333	K18691	no_pathway		mltF; membrane-bound lytic murein transglycosylase F [EC:4.2.2.-]	"Murein-degrading enzyme. May play a role in recycling of muropeptides during cell elongation and/or cell division. Degrades murein glycan strands and insoluble, high-molecular weight murein sacculi."
ID4334					
ID4335		Peptidoglycan biosynthesis			
ID4336					
ID4337	K03980	no_pathway		"murJ, mviN; putative peptidoglycan lipid II flippase"	involved in peptidoglycan biosynthesis. Transports lipid-linked peptidoglycan precursors from the inner to the outer leaflet of the cytoplasmic membrane
ID4338	K06153	Peptidoglycan biosynthesis		bacA; undecaprenyl-diphosphatase [EC:3.6.1.27]	
ID4339	K19302	Peptidoglycan biosynthesis		bcrC; undecaprenyl-diphosphatase [EC:3.6.1.27]	
ID4340	K07259	Peptidoglycan biosynthesis		dacB; serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-]	
ID4341	K07258	Peptidoglycan biosynthesis		"dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]"	
ID4342	K00887	Peptidoglycan biosynthesis		dgkA; undecaprenol kinase [EC:2.7.1.66]	
ID4343	K11694	Peptidoglycan biosynthesis		femA; peptidoglycan pentaglycine glycine transferase (the second and third glycine) [EC:2.3.2.17]	
ID4344	K11695	Peptidoglycan biosynthesis		femB; peptidoglycan pentaglycine glycine transferase (the fourth and fifth glycine) [EC:2.3.2.18]	
ID4345	K11693	Peptidoglycan biosynthesis		"femX, fmhB; peptidoglycan pentaglycine glycine transferase (the first glycine) [EC:2.3.2.16]"	
ID4346	K07009	Peptidoglycan biosynthesis		gatD; lipid II isoglutaminyl synthase (glutamine-hydrolysing) [EC:6.3.5.13]	
ID4347	K05365	Peptidoglycan biosynthesis		mrcB; penicillin-binding protein 1B [EC:2.4.1.129 3.4.16.4]	
ID4348	K03814	Peptidoglycan biosynthesis		mtgA; monofunctional glycosyltransferase [EC:2.4.1.129]	
ID4349	K05362	Peptidoglycan biosynthesis		murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase [EC:6.3.2.7]	
ID4350	K05363	Peptidoglycan biosynthesis		murM; serine/alanine adding enzyme [EC:2.3.2.10]	
ID4351	K12554	Peptidoglycan biosynthesis		murN; alanine adding enzyme [EC:2.3.2.-]	
ID4352	K23393	Peptidoglycan biosynthesis		murT; lipid II isoglutaminyl synthase (glutamine-hydrolysing) [EC:6.3.5.13]	
ID4353	K21469	Peptidoglycan biosynthesis		pbp4b; serine-type D-Ala-D-Ala carboxypeptidase [EC:3.4.16.4]	
ID4354	K05364	Peptidoglycan biosynthesis		pbpA; penicillin-binding protein A	
ID4355	K21465	Peptidoglycan biosynthesis		pbpA; penicillin-binding protein A	
ID4356	K08724	Peptidoglycan biosynthesis		pbpB; penicillin-binding protein 2B	
ID4357	K05367	Peptidoglycan biosynthesis		pbpC; penicillin-binding protein 1C [EC:2.4.1.129]	
ID4358	K18770	Peptidoglycan biosynthesis		pbpD; penicillin-binding protein 4 [EC:2.4.1.129 3.4.16.4]	
ID4359	K21464	Peptidoglycan biosynthesis		pbpG; penicillin-binding protein 2D [EC:2.4.1.129 3.4.16.4]	
ID4360	K21466	Peptidoglycan biosynthesis		pbpH; penicillin-binding protein H	
ID4361	K12551	Peptidoglycan biosynthesis		sgtA; monofunctional glycosyltransferase [EC:2.4.1.129]	
ID4362	K04478	Peptidoglycan biosynthesis		sgtB; monofunctional glycosyltransferase [EC:2.4.1.129]	
ID4363	K08384	Peptidoglycan biosynthesis		spoVD; stage V sporulation protein D (sporulation-specific penicillin-binding protein)	
ID4364	K03587	Peptidoglycan biosynthesis		ftsI; cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4]	
ID4365	K02545	Peptidoglycan biosynthesis		mecA; penicillin-binding protein 2 prime [EC:3.4.16.4]	
ID4366	K05366	Peptidoglycan biosynthesis		mrcA; penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4]	
ID4367	K05515	Peptidoglycan biosynthesis		mrdA; penicillin-binding protein 2 [EC:3.4.16.4]	
ID4368	K03693	Peptidoglycan biosynthesis		pbp1b; penicillin-binding protein 1B	
ID4369	K12555	Peptidoglycan biosynthesis		pbp2A; penicillin-binding protein 2A [EC:2.4.1.129 3.4.16.4]	
ID4370	K00687	Peptidoglycan biosynthesis		"pbp2B, penA; penicillin-binding protein 2B"	
ID4371	K12556	Peptidoglycan biosynthesis		pbp2X; penicillin-binding protein 2X	
ID4372	K12553	Peptidoglycan biosynthesis		pbp3; penicillin-binding protein 3 [EC:3.4.-.-]	
ID4373	K18149	Peptidoglycan biosynthesis		"pbp5, pbp4, pbp3; penicillin-binding protein"	
ID4374	K12552	Peptidoglycan biosynthesis		pbpA; penicillin-binding protein 1 [EC:3.4.-.-]	
ID4375	K00806	Peptidoglycan biosynthesis		uppS; undecaprenyl diphosphate synthase [EC:2.5.1.31]	
ID4376	K01000	Peptidoglycan biosynthesis		mraY; phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]	
ID4377	K02563	Peptidoglycan biosynthesis		murG; UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]	
ID4378	K18866	Peptidoglycan biosynthesis		vanXY; zinc D-Ala-D-Ala dipeptidase/carboxypeptidase [EC:3.4.13.22 3.4.17.14]	
ID4379	K07260	Peptidoglycan biosynthesis		vanY; zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]	
ID4380					
ID4381		N-glycan biosynthesis			
ID4382					
ID4383	K03850	N-glycan biosynthesis		"ALG10; alpha-1,2-glucosyltransferase [EC:2.4.1.256]"	
ID4384	K00729	N-glycan biosynthesis		ALG5; dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117]	
ID4385	K03848	N-glycan biosynthesis		"ALG6; alpha-1,3-glucosyltransferase [EC:2.4.1.267]"	
ID4386	K01001	N-glycan biosynthesis		ALG7; UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase [EC:2.7.8.15]	
ID4387	K03849	N-glycan biosynthesis		"ALG8; alpha-1,3-glucosyltransferase [EC:2.4.1.265]"	
ID4388	K00902	N-glycan biosynthesis		DOLK; dolichol kinase [EC:2.7.1.108]	
ID4389	K07252	N-glycan biosynthesis		DOLPP1; dolichyldiphosphatase [EC:3.6.1.43]	
ID4390	K00721	N-glycan biosynthesis		DPM1; dolichol-phosphate mannosyltransferase [EC:2.4.1.83]	
ID4391	K09659	N-glycan biosynthesis		DPM3; dolichol-phosphate mannosyltransferase subunit 3	
ID4392	K00737	N-glycan biosynthesis		"MGAT3; beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.144]"	
ID4393	K00744	N-glycan biosynthesis		"MGAT5; alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetyl-glucosaminyltransferase [EC:2.4.1.155]"	
ID4394	K09658	N-glycan biosynthesis		DPM2; dolichol phosphate-mannose biosynthesis regulatory protein	
ID4395	K09661	N-glycan biosynthesis		"MGAT5B; mannosyl alpha-1,6-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B [EC:2.4.1.-]"	
ID4396	K00778	N-glycan biosynthesis		"SIAT1, ST6GAL1; beta-galactoside alpha-2,6-sialyltransferase (sialyltransferase 1) [EC:2.4.99.1]"	
ID4397	K00779	N-glycan biosynthesis		"SIAT2, ST6GAL2; beta-galactoside alpha-2,6-sialyltransferase (sialyltransferase 2) [EC:2.4.99.1]"	
ID4398	K05546	N-glycan biosynthesis		"GANAB; mannosyl-oligosaccharide alpha-1,3-glucosidase [EC:3.2.1.207]"	
ID4399	K01228	N-glycan biosynthesis		MOGS; mannosyl-oligosaccharide glucosidase [EC:3.2.1.106]	
ID4400	K03842	N-glycan biosynthesis		"ALG1; beta-1,4-mannosyltransferase [EC:2.4.1.142]"	
ID4401	K03844	N-glycan biosynthesis		"ALG11; alpha-1,2-mannosyltransferase [EC:2.4.1.131]"	
ID4402	K03847	N-glycan biosynthesis		"ALG12; alpha-1,6-mannosyltransferase [EC:2.4.1.260]"	
ID4403	K07432	N-glycan biosynthesis		"ALG13; beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141]"	
ID4404	K07441	N-glycan biosynthesis		"ALG14; beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141]"	
ID4405	K03843	N-glycan biosynthesis		"ALG2; alpha-1,3/alpha-1,6-mannosyltransferase [EC:2.4.1.132 2.4.1.257]"	
ID4406	K03845	N-glycan biosynthesis		"ALG3; alpha-1,3-mannosyltransferase [EC:2.4.1.258]"	
ID4407	K03846	N-glycan biosynthesis		"ALG9; alpha-1,2-mannosyltransferase [EC:2.4.1.259 2.4.1.261]"	
ID4408	K00726	N-glycan biosynthesis		"MGAT1; alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.101]"	
ID4409	K00736	N-glycan biosynthesis		"MGAT2; alpha-1,6-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.143]"	
ID4410	K00738	N-glycan biosynthesis		"MGAT4A_B; alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase A/B [EC:2.4.1.145]"	
ID4411	K13748	N-glycan biosynthesis		"MGAT4C; alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase C [EC:2.4.1.201 2.4.1.145]"	
ID4412	K00717	N-glycan biosynthesis		FUT8; glycoprotein 6-alpha-L-fucosyltransferase [EC:2.4.1.68]	
ID4413	K07968	N-glycan biosynthesis		"B4GALT3; beta-1,4-galactosyltransferase 3 [EC:2.4.1.90 2.4.1.38 2.4.1.-]"	
ID4414	K01230	N-glycan biosynthesis		"MAN1A_C, MNS1_2; mannosyl-oligosaccharide alpha-1,2-mannosidase [EC:3.2.1.113]"	
ID4415	K23741	N-glycan biosynthesis		"MAN1B, MNS3; endoplasmic reticulum Man9GlcNAc2 1,2-alpha-mannosidase [EC:3.2.1.209]"	
ID4416	K12666	N-glycan biosynthesis		"OST1, RPN1; oligosaccharyltransferase complex subunit alpha (ribophorin I)"	
ID4417	K12668	N-glycan biosynthesis		"OST2, DAD1; oligosaccharyltransferase complex subunit epsilon"	
ID4418	K12669	N-glycan biosynthesis		"OST3, OST6; oligosaccharyltransferase complex subunit gamma"	
ID4419	K00730	N-glycan biosynthesis		OST4; oligosaccharyl transferase complex subunit OST4	
ID4420	K12691	N-glycan biosynthesis		OST5; oligosaccharyl transferase complex subunit OST5	
ID4421	K07151	N-glycan biosynthesis		STT3; dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]	
ID4422	K12667	N-glycan biosynthesis		"SWP1, RPN2; oligosaccharyltransferase complex subunit delta (ribophorin II)"	
ID4423	K12670	N-glycan biosynthesis		WBP1; oligosaccharyltransferase complex subunit beta	
ID4424					
ID4425		Other types of O-glycan biosynthesis			
ID4426					
ID4427	K13675	Other types of O-glycan biosynthesis		"B3GALTL; UDP-glucose:O-linked fucose beta-1,3-glucosyltransferase [EC:2.4.1.-]"	
ID4428	K18134	Other types of O-glycan biosynthesis		EOGT; EGF domain-specific O-GlcNAc transferase [EC:2.4.1.255]	
ID4429	K23840	Other types of O-glycan biosynthesis		"GlcAT-P; beta-1,3-glucuronyltransferase P [EC:2.4.1.135 2.4.1.-]"	
ID4430	K10971	Other types of O-glycan biosynthesis		"GMA12; alpha 1,2-galactosyltransferase [EC:2.4.1.-]"	
ID4431	K13676	Other types of O-glycan biosynthesis		"GXYLT; UDP-xylose:glucoside alpha-1,3-xylosyltransferase [EC:2.4.2.-]"	
ID4432	K20782	Other types of O-glycan biosynthesis		HPAT; hydroxyproline O-arabinosyltransferase [EC:2.4.2.58]	
ID4433	K10967	Other types of O-glycan biosynthesis		"KTR1_3; alpha 1,2-mannosyltransferase [EC:2.4.1.-]"	
ID4434	K10970	Other types of O-glycan biosynthesis		"MNN25; alpha 1,2-mannosyltransferase [EC:2.4.1.-]"	
ID4435	K10968	Other types of O-glycan biosynthesis		"MNT2; alpha 1,3-mannosyltransferase [EC:2.4.1.-]"	
ID4436	K10969	Other types of O-glycan biosynthesis		"MNT3; alpha 1,3-mannosyltransferase [EC:2.4.1.-]"	
ID4437	K03691	Other types of O-glycan biosynthesis		POFUT; peptide-O-fucosyltransferase [EC:2.4.1.221]	
ID4438	K20783	Other types of O-glycan biosynthesis		RRA; arabinosyltransferase [EC:2.4.2.-]	
ID4439	K13667	Other types of O-glycan biosynthesis		"RUMI, KTELC1; protein glucosyltransferase [EC:2.4.1.-]"	
ID4440	K20781	Other types of O-glycan biosynthesis		SGT1; peptidyl serine alpha-galactosyltransferase [EC:2.4.1.-]	
ID4441	K20784	Other types of O-glycan biosynthesis		XEG113; arabinosyltransferase [EC:2.4.2.-]	
ID4442	K23800	Other types of O-glycan biosynthesis		XXYLT1; xyloside xylosyltransferase 1 [EC:2.4.2.-]	
ID4443	K09667	Other types of O-glycan biosynthesis		OGT; protein O-GlcNAc transferase [EC:2.4.1.255]	
ID4444	K00728	Other types of O-glycan biosynthesis		"POMT, pmt; dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]"	
ID4445					
ID4446		N-glycan degradation			
ID4447					
ID4448	K13714	N-glycan degradation		atl; bifunctional autolysin [EC:3.5.1.28 3.2.1.96]	
ID4449	K15923	N-glycan degradation		"AXY8, FUC95A, afcA; alpha-L-fucosidase 2 [EC:3.2.1.51]"	
ID4450	K01227	N-glycan degradation		ENGASE; mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [EC:3.2.1.96]	
ID4451	K23989	N-glycan degradation		"lytD, lytB; mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [EC:3.2.1.96]"	
ID4452	K12312	N-glycan degradation		MAN2B2; epididymis-specific alpha-mannosidase [EC:3.2.1.24]	
ID4453	K01191	N-glycan degradation		MAN2C1; alpha-mannosidase [EC:3.2.1.24]	
ID4454	K01444	N-glycan degradation		"AGA, aspG; N4-(beta-N-acetylglucosaminyl)-L-asparaginase [EC:3.5.1.26]"	
ID4455	K01192	N-glycan degradation		"E3.2.1.25, MANBA, manB; beta-mannosidase [EC:3.2.1.25]"	
ID4456	K01206	N-glycan degradation		FUCA; alpha-L-fucosidase [EC:3.2.1.51]	
ID4457	K12311	N-glycan degradation		"MAN2B1, LAMAN; lysosomal alpha-mannosidase [EC:3.2.1.24]"	
ID4458	K17108	N-glycan degradation		GBA2; non-lysosomal glucosylceramidase [EC:3.2.1.45]	
ID4459	K12357	N-glycan degradation		NEU2_3_4; sialidase-2/3/4 [EC:3.2.1.18]	
ID4460	K01201	N-glycan degradation		"GBA, srfJ; glucosylceramidase [EC:3.2.1.45]"	
ID4461	K01186	N-glycan degradation		NEU1; sialidase-1 [EC:3.2.1.18]	
ID4462	K23550	N-glycan degradation		nanH; sialidase [EC:3.2.1.18]	
ID4463	K20730	N-glycan degradation		FDL; beta-hexosaminidase Fdl [EC:3.2.1.52]	
ID4464	K14459	N-glycan degradation		HEX; hexosaminidase [EC:3.2.1.52]	
ID4465	K12373	N-glycan degradation		HEXA_B; hexosaminidase [EC:3.2.1.52]	
ID4466					
ID4467		Lipopolysaccharide metabolism			
ID4468					
ID4469	K04744	no_pathway		"lptD, imp, ostA; LPS-assembly protein"	
ID4470	K19353	Lipopolysaccharide metabolism		eptC; heptose-I-phosphate ethanolaminephosphotransferase [EC:2.7.8.-]	
ID4471	K03271	Lipopolysaccharide metabolism		"gmhA, lpcA; D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]"	
ID4472	K03273	Lipopolysaccharide metabolism		"gmhB; D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]"	
ID4473	K03272	Lipopolysaccharide metabolism		"gmhC, hldE, waaE, rfaE; D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]"	
ID4474	K03274	Lipopolysaccharide metabolism		"gmhD, rfaD; ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]"	
ID4475	K07031	Lipopolysaccharide metabolism		hddA; D-glycero-alpha-D-manno-heptose-7-phosphate kinase [EC:2.7.1.168]	
ID4476	K15669	Lipopolysaccharide metabolism		hddC; D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase [EC:2.7.7.71]	
ID4477	K11211	Lipopolysaccharide metabolism		kdkA; 3-deoxy-D-manno-octulosonic acid kinase [EC:2.7.1.166]	
ID4478	K23082	Lipopolysaccharide metabolism		kdoH1; 3-deoxy-D-manno-octulosonic acid-hydrolase [EC:3.2.1.144]	
ID4479	K23083	Lipopolysaccharide metabolism		kdoH2; 3-deoxy-D-manno-octulosonic acid-hydrolase	
ID4480	K01627	Lipopolysaccharide metabolism		kdsA; 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]	
ID4481	K00979	Lipopolysaccharide metabolism		kdsB; 3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]	
ID4482	K03270	Lipopolysaccharide metabolism		kdsC; 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]	
ID4483	K06041	Lipopolysaccharide metabolism		"kdsD, kpsF; arabinose-5-phosphate isomerase [EC:5.3.1.13]"	
ID4484	K02527	Lipopolysaccharide metabolism		"kdtA, waaA; 3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]"	
ID4485	K00748	Lipopolysaccharide metabolism		lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]	
ID4486	K02535	Lipopolysaccharide metabolism		lpxC; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]	
ID4487	K02536	Lipopolysaccharide metabolism		lpxD; UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]	
ID4488	K12977	Lipopolysaccharide metabolism		lpxE; lipid A 1-phosphatase [EC:3.1.3.-]	
ID4489	K23159	Lipopolysaccharide metabolism		lpxF; lipid A 4'-phosphatase [EC:3.1.3.-]	
ID4490	K03269	Lipopolysaccharide metabolism		"lpxH; UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]"	
ID4491	K09778	Lipopolysaccharide metabolism		lpxJ; Kdo2-lipid IVA 3' secondary acyltransferase [EC:2.3.1.-]	
ID4492	K00912	Lipopolysaccharide metabolism		lpxK; tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]	
ID4493	K02517	Lipopolysaccharide metabolism		"lpxL, htrB; Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]"	
ID4494	K02560	Lipopolysaccharide metabolism		"lpxM, msbB; lauroyl-Kdo2-lipid IVA myristoyltransferase [EC:2.3.1.243]"	
ID4495	K12979	Lipopolysaccharide metabolism		lpxO; beta-hydroxylase [EC:1.14.11.-]	
ID4496	K12974	Lipopolysaccharide metabolism		lpxP; KDO2-lipid IV(A) palmitoleoyltransferase [EC:2.3.1.242]	
ID4497	K09953	Lipopolysaccharide metabolism		lpxR; lipid A 3-O-deacylase [EC:3.1.1.-]	
ID4498	K19803	Lipopolysaccharide metabolism		lpxT; Kdo2-lipid A phosphotransferase [EC:2.7.4.29]	
ID4499	K12976	Lipopolysaccharide metabolism		pagL; lipid A 3-O-deacylase [EC:3.1.1.-]	
ID4500	K21344	Lipopolysaccharide metabolism		rfaE1; D-glycero-beta-D-manno-heptose-7-phosphate kinase [EC:2.7.1.167]	
ID4501	K21345	Lipopolysaccharide metabolism		rfaE2; D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase [EC:2.7.7.70]	
ID4502	K02840	Lipopolysaccharide metabolism		"waaB, rfaB; UDP-D-galactose:(glucosyl)LPS alpha-1,6-D-galactosyltransferase [EC:2.4.1.-]"	
ID4503	K02841	Lipopolysaccharide metabolism		"waaC, rfaC; heptosyltransferase I [EC:2.4.-.-]"	
ID4504	K00713	Lipopolysaccharide metabolism		"waaD; UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase [EC:2.4.1.-]"	
ID4505	K02843	Lipopolysaccharide metabolism		"waaF, rfaF; heptosyltransferase II [EC:2.4.-.-]"	
ID4506	K02844	Lipopolysaccharide metabolism		"waaG, rfaG; UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]"	
ID4507	K03278	Lipopolysaccharide metabolism		"waaI, rfaI; UDP-D-galactose:(glucosyl)LPS alpha-1,3-D-galactosyltransferase [EC:2.4.1.44]"	
ID4508	K03279	Lipopolysaccharide metabolism		"waaJ, rfaJ; UDP-glucose:(galactosyl)LPS alpha-1,2-glucosyltransferase [EC:2.4.1.58]"	
ID4509	K03280	Lipopolysaccharide metabolism		"waaK, rfaK; UDP-N-acetylglucosamine:(glucosyl)LPS alpha-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.56]"	
ID4510	K02847	Lipopolysaccharide metabolism		"waaL, rfaL; O-antigen ligase [EC:2.4.1.-]"	
ID4511	K03275	Lipopolysaccharide metabolism		"waaO, rfaI; UDP-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]"	
ID4512	K02848	Lipopolysaccharide metabolism		"waaP, rfaP; heptose I phosphotransferase [EC:2.7.1.-]"	
ID4513	K02849	Lipopolysaccharide metabolism		"waaQ, rfaQ; heptosyltransferase III [EC:2.4.-.-]"	
