Pathway_1	pathway_2	arcog	xx	Pathway	Gene_short	Gene_name	Comment	Gene	Order	Order2	Other
Translation	tRNA_synthetase	arCOG00485		J	LysS	"Lysyl-tRNA synthetase, class I"		LysS	Transl_2	196	
Translation	tRNA_synthetase	arCOG00408		J	LysU	Lysyl-tRNA synthetase (class II)		LysU	Transl_2	197	
Translation	tRNA_synthetase	arCOG00810		J	MetG	Methionyl-tRNA synthetase		MetG	Transl_2	198	
Translation	tRNA_synthetase	arCOG00410		J	PheS	Phenylalanyl-tRNA synthetase alpha subunit		PheS	Transl_2	199	
Translation	tRNA_synthetase	arCOG00403		J	SerS	Seryl-tRNA synthetase		SerS	Transl_2	200	
Translation	tRNA_synthetase	arCOG00402		J	ProS	Prolyl-tRNA synthetase		ProS	Transl_2	201	
Translation	tRNA_synthetase	arCOG00401		J	ThrS	Threonyl-tRNA synthetase		ThrS	Transl_2	202	
Translation	tRNA_synthetase	arCOG01887		J	TrpS	Tryptophanyl-tRNA synthetase		TrpS	Transl_2	203	
Translation	tRNA_synthetase	arCOG01886		J	TyrS	Tyrosyl-tRNA synthetase		TyrS	Transl_2	204	
Translation	tRNA_synthetase	arCOG00808		J	ValS	Valyl-tRNA synthetase		ValS	Transl_2	205	
Translation	TFs	arCOG01179		J	InfA	"Translation initiation factor 1A (IF-1), eIF1A/aIF1"	Seems to be required for maximal rate of protein biosynthesis. Enhances ribosome dissociation into subunits and stabilizes the binding of the initiator Met-tRNA(I) to 40 S ribosomal subunits 	EIF1A	Transl_3	206	
Translation	TFs	arCOG01560		J	InfB	Translation initiation factor 2 (IF-2; GTPase); infB	general translation initiation by promoting the binding of the formylmethionine-tRNA to ribosomes	InfB	Transl_3	207	
Translation	TFs	arCOG04223		J	SUI1	Translation initiation factor 1 (eIF-1/SUI1)	formation of translation preinitiation complex	SUI1	Transl_3	208	
Translation	TFs	arCOG04107		J	SUI2	"Translation initiation factor 2 subunit alpha, eif2a"	eIF-2 functions in the early steps of protein synthesis by forming a ternary complex with GTP and initiator tRNA	EIF2A	Transl_3	209	
Translation	TFs	arCOG01127		J	GCD2	Translation initiation factor aIF-2B alpha subunit; eif2BA	eIF-2 functions in the early steps of protein synthesis by forming a ternary complex with GTP and initiator tRNA	EIF2A	Transl_3	210	
Translation	TFs	arCOG01640		J	GCD7	Translation initiation factor 2 subunit beta; eif2b	eIF-2 functions in the early steps of protein synthesis by forming a ternary complex with GTP and initiator tRNA	EIF2B 	Transl_3	211	
Translation	TFs	arCOG01125		J	GCD2	Putative translation initiation factor eIF-2B subunit 2-like	eIF-2 functions in the early steps of protein synthesis by forming a ternary complex with GTP and initiator tRNA	EIF2B-like	Transl_3	212	
Translation	TFs	arCOG01563		J	GCD11	"Translation initiation factor 2, gamma subunit eIF-2 gamma, GTPase; eif2g"	eIF-2 functions in the early steps of protein synthesis by forming a ternary complex with GTP and initiator tRNA	EIF2G	Transl_3	213	
Translation	TFs	arCOG00872		J	EIF4A	Hef nuclease / ATP-dependent RNA helicase-like protein eIF-4A		EIF4A	Transl_3	214	
Translation	TFs	arCOG04277		J	Efp	Translation initiation factor 5A (eIF-5A)	Functions by promoting the formation of the first peptide bond	EIF5a	Transl_3	215	
Translation	TFs	arCOG04176		J	TIF6	Translation initiation factor 6 (eIF-6)	Binds to the 50S ribosomal subunit and prevents its association with the 30S ribosomal subunit to form the 70S initiation complex. 	EIF6	Transl_3	216	
Translation	TFs	arCOG01561		J	TEF1	"Translation elongation factor EF-1 alpha,  Elongation factor 1-alpha; Tuf"	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis.	Tuf	Transl_3	217	
Translation	TFs	arCOG01988		J	EFB1	"Translation elongation factor 1-beta, also called SelB"	"Promotes the exchange of GDP for GTP in EF-1-alpha/GDP, thus allowing the regeneration of EF-1-alpha/GTP"	EFB1	Transl_3	218	
Translation	TFs	arCOG01559		J	FusA	"Translation elongation factor G, EF-G; Elongation factor 2; fusA"	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation.	FusA	Transl_3	219	
Translation	TFs	arCOG01742		J	eRF1	Peptide chain release factor eRF1	"Directs the termination of nascent peptide synthesis (translation) in response to the termination codons UAA, UAG and UGA"	eRF1	Transl_3	220	
Translation	TFs	K06174		J	Rli1	"ATP-binding cassette, sub-family E, member 1"	"dissociation of the two ribosomal subunits proceeds in a fundamentally different way than in bacteria. It requires the ABC-type ATPase ABCE1 [previously named RNase L inhibitor (Rli)1 or host protein (HP)68], but the reaction and its regulation remain enigmatic."	Rli1	Transl_3	221	
Translation	Exosome	arCOG00676		J	Csl4	"Exosome complex RNA-binding protein Csl4, contains S1 and Zn-ribbon domains"	"Non-catalytic component of the exosome, which is a complex involved in RNA degradation. Increases the RNA binding and the efficiency of RNA degradation. Helpful for the interaction of the exosome with A-poor RNAs."	Csl4	Transl_4	222	
Translation	Exosome	arCOG00678		J	Rrp4	"Exosome complex RNA-binding protein Rrp4, contains S1 and KH domains"	"Non-catalytic component of the exosome, which is a complex involved in RNA degradation. Increases the RNA binding and the efficiency of RNA degradation. Confers strong poly(A) specificity to the exosome."	Rrp4	Transl_4	223	"only archaea, no LBA, ADM separate"
Translation	Exosome	arCOG01575			Rrp41	Exosome complex component Rrp41	"Catalytic component of the exosome, which is a complex involved in RNA degradation. Has 3'->5' exoribonuclease activity. Can also synthesize heteropolymeric RNA-tails. Binds RNA."	Rrp41	Transl_4	224	"unfinished tree, euk + bacteria + archaea, not as clear in terms of phylogenetic signal"
Translation	Exosome	arCOG01574		J	Rrp42	"Exosome complex RNA-binding protein Rrp42, RNase PH superfamily"	"Non-catalytic component of the exosome, which is a complex involved in RNA degradation. Contributes to the structuring of the Rrp41 active site."	Rrp42	Transl_4	225	"euk + arc, archaea with a bit more messy signal"
Translation	Exosome	arCOG04281		L	DnaG	DNA primase (bacterial type)	Cls4 confers the interaction with DnaG (Hackenberg et al)	DnaG	Transl_4	226	
Translation	Diphthamide_BS	arCOG04112		J	DPH2	Diphthamide synthase subunit DPH2	"first step of diphthamide biosynthesis, i.e. the transfer of the 3-amino-3-carboxypropyl group from S-adenosyl-L-methionine (SAM) to the C2 position of the imidazole ring of the target histidine residue in translation elongation factor 2 (EF-2)."	Dph2	Transl_5	227	
Translation	Diphthamide_BS	arCOG04161		J	DPH5	Diphthamide biosynthesis methyltransferase	"second step of diphthamide BS; S-adenosyl-L-methionine-dependent methyltransferase that catalyzes the trimethylation of the amino group of the modified target histidine residue in translation elongation factor 2 (EF-2), to form an intermediate called diphthine. "	Dph5	Transl_5	228	
Translation	Diphthamide_BS	arCOG00035		J	Dph6	Diphthamide synthase (EF-2-diphthine--ammonia ligase)	Diphthami_syn_2 domain-containing protein	Dph6	Transl_5	229	
Translation	Diphthamide_BS	arCOG00036		J	Dph6	Diphthamide synthase (EF-2-diphthine--ammonia ligase)	Diphthami_syn_2 domain-containing protein	Dph6	Transl_5	230	
Translation	Wybutosine_BS	arCOG00033		J	Trm5	"Wybutosine (yW) biosynthesis enzyme, Trm5 methyltransferase"	methylates the N1 position of guanosine-37 in various tRNAs	Trm5	Transl_6	231	
Translation	Wybutosine_BS	arCOG04174		J	TYW1	"S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, TAW1"	catalyzes the condensation of N-methylguanine with 2 carbon atoms from pyruvate to form the tricyclic 4-demethylwyosine (imG-14) on guanosine-37 of tRNA(Phe).	TYW1	Transl_6	232	
Translation	Wybutosine_BS	arCOG10124		J	TYW2	"tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase, Taw2"	"Catalyzes the transfer of the alpha-amino-alpha-carboxypropyl (acp) group from S-adenosyl-L-methionine to 4-demethylwyosine (imG-14), forming 7-aminocarboxypropyl-demethylwyosine (wybutosine-86) at position 37 of tRNA(Phe)"	TYW2	Transl_6	233	
Translation	Wybutosine_BS	arCOG04156		J	TYW3	"tRNA(Phe) 7-((3-amino-3-carboxypropyl)-4-demethylwyosine(37)-N(4))-methyltransferase, Taw3"	robably methylates N-4 position of wybutosine-86 to produce wybutosine-72.	TYW3	Transl_6	234	
Translation	Translation	arCOG01701		J	SEN2	tRNA splicing endonuclease	Endonuclease that removes tRNA introns. Cleaves pre-tRNA at the 5'- and 3'-splice sites to release the intron. 	EndA	Transl_7	235	
Translation	Translation	arCOG04307		J	CafA	Probable ribonuclease FAU-1	Probable RNase involved in rRNA stability through maturation and/or degradation of precursor rRNAs. 	Fau1	Transl_7	236	
Translation	Translation	arCOG01736		J	LigT	"2'-5' RNA ligase; RNA 2',3'-cyclic phosphodiesterase"	"In vitro, ligates 5' and 3' half-tRNA molecules with 2',3'-cyclic phosphate and 5'-hydroxyl termini, respectively, to the product containing the 2'-5' phosphodiester linkage. Ligase activity requires GTP, but GTP hydrolysis is not required for the reaction, which is reversible. Ligase activity is weak compared to the phosphodiesterase activity."	LigT	Transl_7	237	
Translation	Translation	arCOG01737		J	LigT	2'-5' RNA ligase; 2'-5' RNA ligase related enzyme	"In vitro, ligates 5' and 3' half-tRNA molecules with 2',3'-cyclic phosphate and 5'-hydroxyl termini, respectively, to the product containing the 2'-5' phosphodiester linkage. Ligase activity requires GTP, but GTP hydrolysis is not required for the reaction, which is reversible. Ligase activity is weak compared to the phosphodiesterase activity."	LigT	Transl_7	238	
Translation	Translation	arCOG00721		J	Nob1	Endoribonuclease	toxic component of a type II toxin-antitoxin (TA) system (Potential). Processes pre-16S-rRNA at its 3' end (the D-site) to yield the mature 3' end.	Nob1	Transl_7	239	
Translation	Translation	arCOG04246		J	RtcB	"RNA 3'-P ligase, tRNA-splicing ligase RtcB"	"tRNA-splicing ligase that acts by directly joining spliced tRNA halves to mature-sized tRNAs by incorporating the precursor-derived splice junction phosphate into the mature tRNA as a canonical 3',5'-phosphodiester. "	RtcB	Transl_7	240	
Translation	Translation	arCOG04055		J	Archaease	Protein archease	"Activates the tRNA-splicing ligase complex by facilitating the enzymatic turnover of catalytic subunit RtcB. Acts by promoting the guanylylation of RtcB, a key intermediate step in tRNA ligation. Can also alter the NTP specificity of RtcB such that ATP, dGTP or ITP is used efficiently."	Archaease	Transl_7	241	
Translation	Translation	arCOG04125		J	RCL1	RNA 3'-terminal phosphate cyclase	"Catalyzes the conversion of 3'-phosphate to a 2',3'-cyclic phosphodiester at the end of RNA."	RCL1	Transl_7	242	
Translation	Translation	arCOG00546		J	RnjA	mRNA degradation ribonuclease J1/J2	"A highly processive 5'-3' exoribonuclease; no evidence has been seen for endonuclease activity. Prefers 5'-phosphate or 5'-hydroxyl ends; 5'-triphosphate substrates are very poorly degraded, does not degrade circular RNA. Does not degrade pre-tRNA(Trp) suggesting it is inhibited by strong secondary structures. Also degrades ssNDA but not dsDNA."	RnjA	Transl_7	243	
Translation	Translation	arCOG00501		J	Rnz	"Ribonuclease Z,  beta-lactamase superfamily hydrolase"	"Zinc phosphodiesterase, which displays some tRNA 3'-processing endonuclease activity. Probably involved in tRNA maturation, by removing a 3'-trailer from precursor tRNA. Can also catalyze the 5' end cleavage of the 5S rRNA."	Rnz	Transl_7	244	
Translation	Translation	arCOG00784		J	Rnp1	Ribonuclease P protein component 1	"Part of ribonuclease P (RNase P), a protein complex that generates mature tRNA molecules by cleaving their 5'-ends. Binds RNase P RNA."	Rnp1	Transl_7	245	
Translation	Translation	arCOG01365		J	Rnp2	Ribonuclease P protein component 2	"Part of ribonuclease P, a protein complex that generates mature tRNA molecules by cleaving their 5'-ends."	Rnp2	Transl_7	246	
Translation	Translation	arCOG00307		J	Rnp3	Ribonuclease P protein component 3	"Part of ribonuclease P, a protein complex that generates mature tRNA molecules by cleaving their 5'-ends. Not absolutely essential for activity in vitro, however it strongly stimulates activity. Binds RNase P RNA."	Rnp3	Transl_7	247	
Translation	Translation	arCOG04345		J	RPR2	Ribonuclease P protein component 4	"Part of ribonuclease P, a protein complex that generates mature tRNA molecules by cleaving their 5'-ends. Binds RNase P RNA."	Rnp4	Transl_7	248	
Translation	Translation	arCOG00989		J	Tgt	Queuine/archaeosine tRNA-ribosyltransferase	Exchanges the guanine residue with 7-cyano-7-deazaguanine (preQ0) at position 15 in the dihydrouridine loop (D-loop) of archaeal tRNAs	TgtA	Transl_7	249	
Translation	Posttranslation	arCOG06880		O	DnaJ	Chaperone DnaJ type Zn finger domain	"Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins and by disaggregating proteins, also in an autonomous, DnaK-independent fashion. "	DnaJ	Transl_8	250	
Translation	Posttranslation	arCOG03060		O	DnaK	Chaperone DnaK (HSP70)	"DnaK is an enzyme that couples cycles of ATP binding, hydrolysis, and ADP release by an N-terminal ATP-hydrolysing domain to cycles of sequestration and release of unfolded proteins by a C-terminal substrate binding domain. grpE protein is a co-chaperone for DnaK, and acts as a nucleotide exchange factor, stimulating the rate of ADP release 5000-fold"	DnaK	Transl_8	251	
Translation	Posttranslation	arCOG04772		O	GrpE	GrpE	"Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. "	GrpE	Transl_8	252	
Translation	Posttranslation	arCOG05154		O	GroL	Chaperonin GroEL (HSP60 family)	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions.	GroL	Transl_8	253	
Translation	Posttranslation	arCOG01331		O	HtpX	Protease HtpX homolog	"zinc-dependent endoprotease member of the membrane-localized proteolytic system in E. coli, which participates in the proteolytic quality control of membrane proteins in conjunction with FtsH"	HtpX	Transl_8	254	
Translation	Posttranslation	arCOG01832		O	IbpA	Molecular chaperone (HSP20 family); Small heat shock protein HSP16.5	Chaperone that confers thermal protection to other proteins.	Hsp16	Transl_8	255	
Translation	Posttranslation	arCOG01833		O	IbpA	Molecular chaperone (HSP20 family); Small heat shock protein StHsp19.7		Hsp19	Transl_8	256	
Translation	Posttranslation	arCOG00971		O	PRE1	"20S proteasome, alpha subunit"	"Component of the proteasome core, a large protease complex with broad specificity involved in protein degradation."	PsmA	Transl_8	257	
Translation	Posttranslation	arCOG00970		O	PRE1	"20S proteasome, beta subunit"	"Component of the proteasome core, a large protease complex with broad specificity involved in protein degradation."	PRE1	Transl_8	258	
Translation	Posttranslation	arCOG01306		O	RPT1	ATP-dependent 26S proteasome regulatory subunit	"ATPase which is responsible for recognizing, binding, unfolding and translocation of substrate proteins into the archaeal 20S proteasome core particle. "	Pan1	Transl_8	259	
Translation	Posttranslation	arCOG00976		O	Pcm	Protein-L-isoaspartate carboxylmethyltransferase	Catalyzes the methyl esterification of L-isoaspartyl residues in peptides and proteins that result from spontaneous decomposition of normal L-aspartyl and L-asparaginyl residues. It plays a role in the repair and/or degradation of damaged proteins	Pcm	Transl_8	260	
Translation	Posttranslation	arCOG01257		O	ThsA	Thermosome subunit alpha	"Molecular chaperone; binds unfolded polypeptides in vitro, and has a weak ATPase activity."	ThsA	Transl_8	261	
Lipids	Mevalonate	arCOG01767		I	HmgB	3-hydroxy-3-methylglutaryl CoA synthase	Catalyzes the condensation of acetyl-CoA with acetoacetyl-CoA to form 3-hydroxy-3-methylglutaryl-CoA (HMG-CoA). Functions in the mevalonate (MVA) pathway	HmgB	Lipid_1	262	
Lipids	Mevalonate	arCOG04260		I	HmgA	"3-hydroxy-3-methylglutaryl-coenzyme A reductase, HMG-CoA reductase"	Catalyzes the NADPH-dependent reductive deacylation of (S)-3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) to (R)-mevalonate. Functions in the mevalonate (MVA) pathway	HmgA	Lipid_1	263	
Lipids	Mevalonate	arCOG01028		I	MvK	Mevalonate kinase	Catalyzes the phosphorylation of (R)-mevalonate (MVA) to (R)-mevalonate 5-phosphate (MVAP).	MvK	Lipid_1	264	
Lipids	Mevalonate	K18689		I	M3k	Mevalonate 3-kinase	Catalyzes the phosphorylation of mevalonate (MVA) to yield mevalonate-3-phosphate. Functions in an alternative mevalonate pathway	M3k	Lipid_1	265	
Lipids	Mevalonate	arCOG01967		I	M3P5K	Mevalonate-3-phosphate 5-kinase	"Phosphorylates mevalonate 3-phosphate to form mevalonate 3,5-bisphosphate. Functions in an alternative mevalonate pathway"	M3P5K	Lipid_1	266	
Lipids	Mevalonate	arCOG02937		I	mvaD	Diphosphomevalonate decarboxylase	Catalyzes the decarboxylation of mevalonate 5-phosphate (MVAP) to isopentenyl phosphate (IP). Functions in the mevalonate (MVA) pathway leading to IPP	mvaD	Lipid_1	267	
Lipids	Mevalonate	arCOG00860		I	Ipk	Isopentenyl phosphate kinase	"Catalyzes the formation of isopentenyl diphosphate (IPP), the building block of all isoprenoids."	Ipk	Lipid_1	268	
Lipids	Mevalonate	arCOG01726		I	GFPS	Geranylfarnesyl diphosphate synthase	Catalyzes the condensation of isopentenyl pyrophosphate with the allylic pyrophosphates to yield all-trans geranylfarnesyl diphosphate (GFPP).	GFPS	Lipid_1	269	
Lipids	Lipids	arCOG00982		L	EgsA	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	NAD(P)H-dependent reduction of dihydroxyacetonephosphate (DHAP or glycerone phosphate) to glycerol 1-phosphate (G1P).	EgsA	Lipid_2	270	
Lipids	Lipids	arCOG01085		L	GGGP_synthase	phosphoglycerol geranylgeranyltransferase [EC:2.5.1.41]	transfer of the geranylgeranyl moiety of geranylgeranyl diphosphate (GGPP) to the C3 hydroxyl of sn-glycerol-1-phosphate (G1P)	GGGP_synthase	Lipid_2	271	
Lipids	Lipids	arCOG00476		L	UbiA	geranylgeranylglycerol-phosphate geranylgeranyltransferase [EC:2.5.1.42]	Notice: only the homologs identified in the aquifer MAGs harbor the characteristic DGGGP synthase domain (IPR023547)	UbiA	Lipid_2	272	
Lipids	Lipids	arCOG00570		L	GGR	digeranylgeranylglycerophospholipid reductase [EC:1.3.1.101 1.3.7.11]	"reduction of 2,3-digeranylgeranylglycerophospholipids (unsaturated archaeols) into 2,3-diphytanylglycerophospholipids (saturated archaeols)"	GGR	Lipid_2	273	
Lipids	Lipids	arCOG04106		L	CarS	"CDP-archaeol synthase, EC 2.7.7.67"	"Catalyzes the formation of CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol (CDP-archaeol) from 2,3-bis-(O-geranylgeranyl)-sn-glycerol 1-phosphate (DGGGP) and CTP. This reaction is the third ether-bond-formation step in the biosynthesis of archaeal membrane lipids."	CarS	Lipid_2	274	
Lipids	Lipids	arCOG00670		L	PgsA	"Archaetidylinositol phosphate synthase, AIP synthase"	Catalyzes the formation of archaetidylinositol phosphate (AIP) from CDP-archaeol	PgsA	Lipid_2	275	
Lipids	Lipids	arCOG00671		L	ASS	"Archaetidylserine synthase, EC 2.7.8.38 "	Catalyzes the formation of unsaturated archaetidylserine from CDP-unsaturated archaeol and L-serine. 	ASS	Lipid_2	276	
Lipids	Lipids	arCOG04470		L	Asd	Putative archaetidylserine decarboxylase	Catalyzes the formation of archaetidylethanolamine (PtdEtn) from archaetidylserine (PtdSer)	Asd	Lipid_2	277	
