KO	IDs	pathway_A	order	Gene	Comment.Uniprot.comment	NIOZ132_cc_b51_2	NIOZ134_mx_b281_2	SRR2090153_bin1042	SRR2090153_bin461	SRR2090159_bin1129	SRR2090159_bin1288	GCA_002494525	GCA_002495465	GCA_002501985	SRR4028224_bin17	SRR5007147_bin71	U_76725	NIOZ124_cc_b247_2	NIOZ125_mb_b254_2	NIOZ129_mb_b262_2	NIOZ126_mb_b401_2	NIOZ122_mb_b319_2	NIOZ134_mb_b41_2	NIOZ132_mb_b282_2	NIOZ127_mb_b161_2	NIOZ123_bs_b5_2	NIOZ121_cc_b94_2	NIOZ136_cc_b15_2	GCA_002502135	NIOZ134_mb_b293_2	NIOZ132_mb_b260_2	NIOZ126_mb_b137_2	NIOZ129_mb_b254_2	NIOZ127_mb_b282_2	NIOZ122_mb_b305_2	NIOZ136_mb_b335_2	NIOZ132_mb_b198_2	NIOZ136_mb_b104_2	NIOZ125_mb_b178_2	NIOZ121_mb_b48_2	NIOZ134_cc_b149_2	NIOZ134_mb_b361_2	NIOZ136_mb_b226_2	NIOZ123_bs_b392_2	NIOZ124_mb_b130_2	NIOZ132_cc_b149_2	NIOZ125_cc_b75_2	NIOZ132_mx_b314_2	NIOZ120_mb_b229_2	NIOZ126_mb_b304_2	NIOZ119_mb_b5_2
2422	K05607	ID933	Peptide degradation	7	AUH; methylglutaconyl-CoA hydratase [EC:4.2.1.18]																																															
2423	K13766	ID934	Peptide degradation	7	liuC; methylglutaconyl-CoA hydratase [EC:4.2.1.18]																																															
2424		ID935																																																		
2425	K01640	ID936	Peptide degradation	8	"E4.1.3.4, HMGCL, hmgL; hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]"																																															
2426		ID937																																																		
2427	IsoLeucine degradation (to propanoyl-CoA + acetyl-CoA)	ID938																																																		
2428	K00105	ID4216	Glycerophospholipid metabolism (other)		E1.1.3.21; alpha-glycerophosphate oxidase [EC:1.1.3.21]																																															
2429		ID940																																																		
2430	K00186	ID941	Peptide degradation	2A	"vorA; 2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.7]"																																															
2431	K00187	ID942	Peptide degradation	2A	"vorB; 2-oxoisovalerate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.7]"																																															
2432	K00188	ID943	Peptide degradation	2A	"vorD; 2-oxoisovalerate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.7]"																																															
2433	K00189	ID944	Peptide degradation	2A	"vorG; 2-oxoisovalerate ferredoxin oxidoreductase, gamma subunit [EC:1.2.7.7]"																																															
2434	K03736	ID4222	Glycerophospholipid metabolism (other)		eutC; ethanolamine ammonia-lyase small subunit [EC:4.3.1.7]																																															
2435	K18696	ID4223	Glycerophospholipid metabolism (other)		GDE1; glycerophosphodiester phosphodiesterase [EC:3.1.4.46]																																															
2436	K11381	ID947	Peptide degradation	2B	bkdA; 2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4]																																															
2437		ID948																																																		
2438	K00382	ID949	Peptide degradation	3	"DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]"																																															
2439		ID950																																																		
2440	K00113	ID4228	Glycerophospholipid metabolism (other)		glpC; glycerol-3-phosphate dehydrogenase subunit C																																															
2441		ID952																																																		
2442	K00248	ID953	Peptide degradation	5	"ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]"																																															
2443	K00249	ID954	Peptide degradation	5	"ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]"																																															
2444		ID955																																																		
2445	K01692	ID956	Peptide degradation	6	"paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]"																																															
2446	K01715	ID957	Peptide degradation	6	crt; enoyl-CoA hydratase [EC:4.2.1.17]																																															
2447	K01782	ID958	Peptide degradation	6	fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]																																															
2448		ID959																																																		
2449	K00022	ID960	Peptide degradation	7	HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]																																															
2450	K01782	ID961	Peptide degradation	7	fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]																																															
2451	K01825	ID962	Peptide degradation	7	fadB; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]																																															
2452	K07514	ID963	Peptide degradation	7	"EHHADH; enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase [EC:4.2.1.17 1.1.1.35 5.3.3.8]"																																															
2453	K07516	ID964	Peptide degradation	7	fadN; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]																																															
2454	K08683	ID965	Peptide degradation	7	HSD17B10; 3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA dehydrogenase [EC:1.1.1.35 1.1.1.178]																																															
2455	K12405	ID966	Peptide degradation	7	"HSD17B4; 3-hydroxyacyl-CoA dehydrogenase / 3a,7a,12a-trihydroxy-5b-cholest-24-enoyl-CoA hydratase / enoyl-CoA hydratase 2 [EC:1.1.1.35 4.2.1.107 4.2.1.119]"																																															
2456	K15016	ID967	Peptide degradation	7	K15016; enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35]																																															
2457		ID968																																																		
2458	K00632	ID969	Peptide degradation	8	"fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]"																																															
2459	K07508	ID970	Peptide degradation	8	ACAA2; acetyl-CoA acyltransferase 2 [EC:2.3.1.16]																																															
2460	K07513	ID971	Peptide degradation	8	ACAA1; acetyl-CoA acyltransferase 1 [EC:2.3.1.16]																																															
2461	K00626	ID972	Peptide degradation	8	"E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"																																															
2462		ID973																																																		
2463	Valine degradation (to succinyl-CoA)	ID974																																																		
2464	K22389	ID4252	Glycerophospholipid metabolism (other)		LCAT3; phospholipase A1 [EC:3.1.1.32]																																															
2465		ID976																																																		
2466	K00186	ID977	Peptide degradation	2A	"vorA; 2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.7]"																																															
2467	K00187	ID978	Peptide degradation	2A	"vorB; 2-oxoisovalerate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.7]"																																															
2468	K00188	ID979	Peptide degradation	2A	"vorD; 2-oxoisovalerate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.7]"																																															
2469	K00189	ID980	Peptide degradation	2A	"vorG; 2-oxoisovalerate ferredoxin oxidoreductase, gamma subunit [EC:1.2.7.7]"																																															
2470	K00623	ID4258	Glycerophospholipid metabolism (other)		CHAT; choline O-acetyltransferase [EC:2.3.1.6]																																															
2471	K06123	ID4259	Glycerophospholipid metabolism (other)		AYR1; 1-acylglycerone phosphate reductase [EC:1.1.1.101]																																															
2472	K11381	ID983	Peptide degradation	2B	bkdA; 2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4]																																															
2473		ID984																																																		
2474	K00382	ID985	Peptide degradation	3	"DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]"																																															
2475		ID986																																																		
2476	K01058	ID4264	Glycerophospholipid metabolism (other)		pldA; phospholipase A1/A2 [EC:3.1.1.32 3.1.1.4]																																															
2477		ID988																																																		
2478	K00248	ID989	Peptide degradation	5	"ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]"																																															
2479	K00249	ID990	Peptide degradation	5	"ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]"																																															
2480		ID991																																																		
2481	K01692	ID992	Peptide degradation	6	"paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]"																																															
2482	K01715	ID993	Peptide degradation	6	crt; enoyl-CoA hydratase [EC:4.2.1.17]																																															
2483	K01825	ID994	Peptide degradation	6	fadB; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]																																															
2484	K07511	ID995	Peptide degradation	6	ECHS1; enoyl-CoA hydratase [EC:4.2.1.17]																																															
2485	K07514	ID996	Peptide degradation	6	"EHHADH; enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase [EC:4.2.1.17 1.1.1.35 5.3.3.8]"																																															
2486	K07515	ID997	Peptide degradation	6	HADHA; enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.211]																																															
2487	K13767	ID998	Peptide degradation	6	fadB; enoyl-CoA hydratase [EC:4.2.1.17]																																															
2488	K15016	ID999	Peptide degradation	6	K15016; enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35]																																															
2489	K01782	ID1000	Peptide degradation	6	fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]																																															
2490		ID1001																																																		
2491	K05605	ID1002	Peptide degradation	7	HIBCH; 3-hydroxyisobutyryl-CoA hydrolase [EC:3.1.2.4]																																															
2492		ID1003																																																		
2493	K00020	ID1004	Peptide degradation	8	"mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]"																																															
2494		ID1005																																																		
2495	K00022	ID1006	Peptide degradation	9	HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]																																															
2496		ID1007																																																		
2497	Glycine --> Serine	ID1008																																																		
2498	K10805	ID4286	Biosynthesis of unsaturated fatty acids		tesB; acyl-CoA thioesterase II [EC:3.1.2.-]																																															
2499	K10806	ID4287	Biosynthesis of unsaturated fatty acids		yciA; acyl-CoA thioesterase YciA [EC:3.1.2.-]																																															
2500		ID1011																																																		
2501	Serine --> Pyruvate	ID1012																																																		
2502	K17989	ID1013	Peptide degradation	1	"SDS, SDH, CHA1; L-serine/L-threonine ammonia-lyase [EC:4.3.1.17 4.3.1.19]"																																															
2503	K01752	ID1014	Peptide degradation	1	"E4.3.1.17, sdaA, sdaB, tdcG; L-serine dehydratase [EC:4.3.1.17]"																																															
2504		ID1015																																																		
2505	Alanine --> Pyruvate	ID1016																																																		
2506	K00814	ID1017	Peptide degradation	1	"GPT, ALT; alanine transaminase [EC:2.6.1.2]"																																															
2507	K00827	ID1018	Peptide degradation	1	AGXT2; alanine-glyoxylate transaminase / (R)-3-amino-2-methylpropionate-pyruvate transaminase [EC:2.6.1.44 2.6.1.40]																																															
2508	K18575	ID4296	Etherlipid metabolism		TMEM86B; alkenylglycerophosphocholine hydrolase [EC:3.3.2.2]																																															
2509		ID1020																																																		
2510	Histidine --> Glutamate	ID1021																																																		
2511	K01745	ID1022	Peptide degradation	1	"hutH, HAL; histidine ammonia-lyase [EC:4.3.1.3]"																																															
2512		ID1023																																																		
2513	K01712	ID1024	Peptide degradation	2	"hutU, UROC1; urocanate hydratase [EC:4.2.1.49]"																																															
2514		ID1025																																																		
2515	K01468	ID1026	Peptide degradation	3	"hutI, AMDHD1; imidazolonepropionase [EC:3.5.2.7]"																																															
2516		ID1027																																																		
2517	K00667	ID4305	Fatty acid biosynthesis (other)		"FAS2; fatty acid synthase subunit alpha, fungi type [EC:2.3.1.86]"																																															
2518	K00603	ID1029	Peptide degradation	4	fctD; glutamate formiminotransferase [EC:2.1.2.5]																																															
2519	K13990	ID1030	Peptide degradation	4	FTCD; glutamate formiminotransferase / formiminotetrahydrofolate cyclodeaminase [EC:2.1.2.5 4.3.1.4]																																															
2520		ID1031																																																		
2521	Proline --> Glutamate	ID1032																																																		
2522	K01071	ID4310	Fatty acid biosynthesis (other)		MCH; medium-chain acyl-[acyl-carrier-protein] hydrolase [EC:3.1.2.21]																																															
2523	K00665	ID4311	Fatty acid biosynthesis (other)		"FASN; fatty acid synthase, animal type [EC:2.3.1.85]"																																															
2524		ID1035																																																		
2525	K00294	ID1036	Peptide degradation	2	E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]																																															
2526		ID1037																																																		
2527	Arginine --> Glutamate	ID1038																																																		
2528	K01476	ID1039	Peptide degradation	1	"E3.5.3.1, rocF, arg; arginase [EC:3.5.3.1]"																																															
2529		ID1040																																																		
2530	K00819	ID1041	Peptide degradation	2	"rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]"																																															
2531		ID1042																																																		
2532	K00294	ID1043	Peptide degradation	3	E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]																																															
2533		ID1044																																																		
2534	Tryp + Oxoglutarat --> Glutamate + (indol-3-yl)pyruvate	ID1045																																																		
2535	K00838	ID1046	Peptide degradation	1	ARO8; aromatic amino acid aminotransferase I [EC:2.6.1.57 2.6.1.27 2.6.1.5]																																															
2536	K14265	ID1047	Peptide degradation	1	Tam1; tryptophan aminotransferase [EC:2.6.1.27]																																															
2537		ID1048																																																		
2538	Glutamine --> Glutamate	ID1049																																																		
2539	K01425	ID1050	Peptide degradation	1	"glsA, GLS; glutaminase [EC:3.5.1.2]"																																															
2540	K05597	ID1051	Peptide degradation	1	"aspQ, ansB, ansA; glutamin-(asparagin-)ase [EC:3.5.1.38]"																																															
2541		ID1052																																																		
2542	Glutamate --> Pyruvate (methylaspartate pathway)	ID1053																																																		
2543	K01846	ID1054	Peptide degradation	1	"glmS, mutS, mamA; methylaspartate mutase sigma subunit [EC:5.4.99.1]"																																															
2544	K19268	ID1055	Peptide degradation	1	"glmE, mutE, mamB; methylaspartate mutase epsilon subunit [EC:5.4.99.1]"																																															
2545		ID1056																																																		
2546	K04835	ID1057	Peptide degradation	2	mal; methylaspartate ammonia-lyase [EC:4.3.1.2]																																															
2547		ID1058																																																		
2548	EC 4.2.1.34	ID1059	Peptide degradation	3	(S)-2-methylmalate dehydratase																																															
2549		ID1060																																																		
2550	EC 4.1.3.22	ID1061	Peptide degradation	4	citramalate lyase																																															
2551		ID1062																																																		
2552	Glutamate --> Crotonyl-CoA (hydroxyglutarate pathway)	ID1063																																																		
2553	K07258	ID4341	Peptidoglycan biosynthesis		"dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]"																																															
2554	K15371	ID1065	Peptide degradation	1	GDH2; glutamate dehydrogenase [EC:1.4.1.2]																																															
2555	K00261	ID1066	Peptide degradation	1	"GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]"																																															
2556	K00262	ID1067	Peptide degradation	1	"E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]"																																															
2557		ID1068																																																		
2558	K07009	ID4346	Peptidoglycan biosynthesis		gatD; lipid II isoglutaminyl synthase (glutamine-hydrolysing) [EC:6.3.5.13]																																															
2559		ID1070																																																		
2560	K01039	ID1071	Peptide degradation	3	"gctA; glutaconate CoA-transferase, subunit A [EC:2.8.3.12]"																																															
2561	K01040	ID1072	Peptide degradation	3	"gctB; glutaconate CoA-transferase, subunit B [EC:2.8.3.12]"																																															
2562		ID1073																																																		
2563	K01615	ID1074	Peptide degradation	4	E4.1.1.70; glutaconyl-CoA decarboxylase [EC:4.1.1.70]																																															
2564		ID1075																																																		
2565	Glutamate --> acetyl-CoA (reverse TCA pathway)	ID1076																																																		
2566	K05364	ID4354	Peptidoglycan biosynthesis		pbpA; penicillin-binding protein A																																															
2567	K15371	ID1078	Peptide degradation	1	GDH2; glutamate dehydrogenase [EC:1.4.1.2]																																															
2568	K00261	ID1079	Peptide degradation	1	"GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]"																																															
2569	K00262	ID1080	Peptide degradation	1	"E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]"																																															
2570		ID1081																																																		
2571	K00031	ID1082	Peptide degradation	2	"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"	NADH production																																														
2572	K00030	ID1083	Peptide degradation	2	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	NADH production																																														
2573	K17753	ID1084	Peptide degradation	2	HICDH; isocitrate--homoisocitrate dehydrogenase [EC:1.1.1.286]																																															
2574		ID1085			Citrate syntase																																															
2575	K08384	ID4363	Peptidoglycan biosynthesis		spoVD; stage V sporulation protein D (sporulation-specific penicillin-binding protein)																																															
2576	K01682	ID1087	Peptide degradation	3	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]																																															
2577		ID1088																																																		
2578	K01647	ID1089	Peptide degradation	4	"CS, gltA; citrate synthase [EC:2.3.3.1]"																																															
2579	K01648	ID1090	Peptide degradation	4	ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8]																																															
2580	K15230	ID1091	Peptide degradation	4	aclA; ATP-citrate lyase alpha-subunit [EC:2.3.3.8]																																															
2581	K15231	ID1092	Peptide degradation	4	aclB; ATP-citrate lyase beta-subunit [EC:2.3.3.8]																																															
2582		ID1093																																																		
2583	Glutamate --> Succinyl-CoA (can go to TCA for acetate or into propyonyl pathway)	ID1094																																																		
2584	K12553	ID4372	Peptidoglycan biosynthesis		pbp3; penicillin-binding protein 3 [EC:3.4.-.-]																																															
2585	K15371	ID1096	Peptide degradation	1	GDH2; glutamate dehydrogenase [EC:1.4.1.2]																																															
2586	K00261	ID1097	Peptide degradation	1	"GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]"																																															
2587	K00262	ID1098	Peptide degradation	1	"E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]"																																															
2588		ID1099																																																		
2589	K00174	ID1100	Peptide degradation	2	"korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]"																																															
2590	K00175	ID1101	Peptide degradation	2	"korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]"																																															
2591		ID1102																																																		
2592	K01899	ID1103	Peptide degradation	3	succinyl-CoA synthetase alpha																																															
2593	K01900	ID1104	Peptide degradation	3	succinyl-CoA synthetase beta																																															
2594	K01902	ID1105	Peptide degradation	3	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	GTP production																																														
2595	K01903	ID1106	Peptide degradation	3	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]	GTP production																																														
2596	K18118	ID1107	Peptide degradation	3	"aarC, cat1; succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]"																																															
2597		ID1108			Succinyl-CoA synthetase																																															
2598	K00239	ID1109	Peptide degradation	4	"sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"																																															
2599	K00240	ID1110	Peptide degradation	4	"sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"																																															
2600	K00241	ID1111	Peptide degradation	4	"sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit"																																															
2601	K00242	ID1112	Peptide degradation	4	"sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit"																																															
2602	K00244	ID1113	Peptide degradation	4	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]																																															
2603	K00245	ID1114	Peptide degradation	4	frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]																																															
2604	K00246	ID1115	Peptide degradation	4	frdC; fumarate reductase subunit C																																															
2605	K00247	ID1116	Peptide degradation	4	frdD; fumarate reductase subunit D																																															
2606		ID1117			Succinate dehydrogenase/fumarate reductase																																															
2607	K01676	ID1118	Peptide degradation	5	"E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]"																																															
2608	K00778	ID4396	N-glycan biosynthesis		"SIAT1, ST6GAL1; beta-galactoside alpha-2,6-sialyltransferase (sialyltransferase 1) [EC:2.4.99.1]"																																															
2609	K00779	ID4397	N-glycan biosynthesis		"SIAT2, ST6GAL2; beta-galactoside alpha-2,6-sialyltransferase (sialyltransferase 2) [EC:2.4.99.1]"																																															
2610	K01679	ID1121	Peptide degradation	5	"E4.2.1.2B, fumC; fumarate hydratase, class II [EC:4.2.1.2]"																																															
2611		ID1122			Fumarate hydratase																																															
2612	K00116	ID1123	Peptide degradation	6	mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]	Forward																																														
2613	K03844	ID4401	N-glycan biosynthesis		"ALG11; alpha-1,2-mannosyltransferase [EC:2.4.1.131]"																																															
2614	K03847	ID4402	N-glycan biosynthesis		"ALG12; alpha-1,6-mannosyltransferase [EC:2.4.1.260]"																																															
2615	K00028	ID1126	Peptide degradation	6	E1.1.1.39; malate dehydrogenase (decarboxylating) [EC:1.1.1.39]	Mal -> Pyr																																														
2616	K00029	ID1127	Peptide degradation	6	"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"	Mal -> Pyr																																														
2617		ID1128																																																		
2618	Threonine --> Oxobutanoate --> Propanoyl-CoA	ID1129																																																		
2619	K17989	ID1130	Peptide degradation	1	"SDS, SDH, CHA1; L-serine/L-threonine ammonia-lyase [EC:4.3.1.17 4.3.1.19]"																																															
2620	K01754	ID1131	Peptide degradation	1	"E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]"																																															
2621		ID1132																																																		
2622	K00656	ID1133	Peptide degradation	2	"E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]"																																															
2623	K13748	ID4411	N-glycan biosynthesis		"MGAT4C; alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase C [EC:2.4.1.201 2.4.1.145]"																																															
2624	K00717	ID4412	N-glycan biosynthesis		FUT8; glycoprotein 6-alpha-L-fucosyltransferase [EC:2.4.1.68]																																															
2625	K11381	ID1136	Peptide degradation	2	bkdA; 2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4]																																															
2626	K00382	ID1137	Peptide degradation	2	"DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]"																																															
2627	K23741	ID4415	N-glycan biosynthesis		"MAN1B, MNS3; endoplasmic reticulum Man9GlcNAc2 1,2-alpha-mannosidase [EC:3.2.1.209]"																																															
2628		ID1139																																																		
2629	Cystein --> Pyruvate	ID1140																																																		
2630	K01760	ID1141	Peptide degradation	1	metC; cystathionine beta-lyase [EC:4.4.1.8]																																															
2631	K14155	ID1142	Peptide degradation	1	"patB, malY; cystathione beta-lyase [EC:4.4.1.8]"																																															
2632	K01758	ID1143	Peptide degradation	1	CTH; cystathionine gamma-lyase [EC:4.4.1.1]																																															
2633	K17217	ID1144	Peptide degradation	1	mccB; cystathionine gamma-lyase / homocysteine desulfhydrase [EC:4.4.1.1 4.4.1.2]																																															
2634	K20021	ID1145	Peptide degradation	1	E4.4.1.28; L-cysteine desulfidase [EC:4.4.1.28]																																															
2635		ID1146																																																		
2636	Methionate --> Oxobutanoate --> Propanoyl-CoA	ID1147																																																		
2637		ID4425	Other types of O-glycan biosynthesis																																																	
2638		ID1149																																																		
2639	K01762	ID1150	Peptide degradation	2	ACS; 1-aminocyclopropane-1-carboxylate synthase [EC:4.4.1.14]																																															
2640		ID1151																																																		
2641	K01505	ID1152	Peptide degradation	3	E3.5.99.7; 1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7]																																															
2642		ID1153																																																		
2643	K00656	ID1154	Peptide degradation	2	"E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]"																																															
2644	K20782	ID4432	Other types of O-glycan biosynthesis		HPAT; hydroxyproline O-arabinosyltransferase [EC:2.4.2.58]																																															
2645	K10967	ID4433	Other types of O-glycan biosynthesis		"KTR1_3; alpha 1,2-mannosyltransferase [EC:2.4.1.-]"																																															
2646	K11381	ID1157	Peptide degradation	2	bkdA; 2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4]																																															
2647	K00382	ID1158	Peptide degradation	2	"DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]"																																															
2648	K10969	ID4436	Other types of O-glycan biosynthesis		"MNT3; alpha 1,3-mannosyltransferase [EC:2.4.1.-]"																																															
2649		ID1160																																																		
2650	Phe --> Tyr	ID1161																																																		
2651	K00500	ID1162		1	"phhA, PAH; phenylalanine-4-hydroxylase [EC:1.14.16.1]"																																															
2652		ID1163																																																		
2653	Tyrosine --> Fumarate + Acetoacetate	ID1164																																																		
2654	K00815	ID1165	Peptide degradation	1	TAT; tyrosine aminotransferase [EC:2.6.1.5]																																															
2655	K00832	ID1166	Peptide degradation	1	tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]																																															
2656	K11358	ID1167	Peptide degradation	1	yhdR; aspartate aminotransferase [EC:2.6.1.1]																																															
2657		ID4445																																																		
2658	K00813	ID1169	Peptide degradation	1	aspC; aspartate aminotransferase [EC:2.6.1.1]																																															
2659		ID1170																																																		
2660	K00457	ID1171	Peptide degradation	2	"HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]"																																															
2661		ID1172																																																		
2662	K00451	ID1173	Peptide degradation	3	"HGD, hmgA; homogentisate 1,2-dioxygenase [EC:1.13.11.5]"																																															
2663		ID1174																																																		
2664	K01800	ID1175	Peptide degradation	4	"maiA, GSTZ1; maleylacetoacetate isomerase [EC:5.2.1.2]"																																															
2665		ID1176																																																		
2666	K01555	ID1177	Peptide degradation	5	"FAH, fahA; fumarylacetoacetase [EC:3.7.1.2]"																																															
2667		ID1178																																																		
2668	Tryp --> acetoacetate	ID1179																																																		
2669	K00453	ID1180	Peptide degradation	1	"E1.13.11.11, TDO2; tryptophan 2,3-dioxygenase [EC:1.13.11.11]"																																															
2670		ID1181																																																		
2671	K01432	ID1182	Peptide degradation	2	AFMID; arylformamidase [EC:3.5.1.9]																																															
2672	K01201	ID4460	N-glycan degradation		"GBA, srfJ; glucosylceramidase [EC:3.2.1.45]"																																															
2673		ID1184																																																		
2674	K00486	ID1185	Peptide degradation	3	KMO; kynurenine 3-monooxygenase [EC:1.14.13.9]																																															
2675		ID1186																																																		
2676	K01556	ID1187	Peptide degradation	4	"KYNU, kynU; kynureninase [EC:3.7.1.3]"																																															
2677		ID1188																																																		
2678	K00452	ID1189	Peptide degradation	5	"HAAO; 3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]"																																															
2679		ID1190																																																		
2680	K03392	ID1191	Peptide degradation	6	ACMSD; aminocarboxymuconate-semialdehyde decarboxylase [EC:4.1.1.45]																																															
2681		ID1192																																																		
2682	K10217	ID1193	Peptide degradation	7	"dmpC, xylG, praB; aminomuconate-semialdehyde/2-hydroxymuconate-6-semialdehyde dehydrogenase [EC:1.2.1.32 1.2.1.85]"																																															
2683		ID1194																																																		
2684		ID1195	Substrate degradation																																																	
2685		ID1196																																																		
2686	K01179	ID1197	CH degradation		"E3.2.1.4; endoglucanase [EC:3.2.1.4], includes cellulases"	Cellulose - Cellodextrin																																														
